Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉	多米尼克・拉伯：政府不能为西班牙的隔离决定道歉	Dominic Raab ：政府不能为西班牙的检疫决定道歉
Algiers - President of the Republic, Abdelmadjid Tebboune, sent a message of condolences to members of the People's National Assembly (APN), Mujahed Mahmoud Guemama, who died Friday, in which he said that Algeria "has lost a patriot and a militant committed to the causes of his people and his nation."	阿尔及尔——共和国总统 Abdelmadjid Tebboune 向于周五逝世的全国人民议会议员 Mujahed Mahmoud Guemama 表示哀悼，并表示阿尔及利亚“痛失一位爱国者，一名投身于人民和祖国大业的战士”。	阿尔及尔 ---- 共和国总统 Abdelmadjid Tebboune 向星期五去世的人民国民议会成员 Mujahed Mahmoud Guemama 致以哀悼，他在信中说，阿尔及利亚 "失去了一名爱国者和一名致力于其人民和民族事业的好战分子" 。	阿尔及尔 - 共和国总统阿卜杜勒马吉德・特布恩向星期五去世的全国人民议会议员穆贾德・马哈茂德・古马马表示哀悼，他在信中说，阿尔及利亚 "失去了一位致力于其人民和国家事业的爱国者和好战分子" 。
Algeria loses today, by the death of Mujahed Mahmoud Guemama, a patriot and a militant committed to the causes of his people and his nation, a man who has never wavered and whose determination remained intact from the moment he took up arms, alongside his valiant Mujahedeen brothers, until his last breath on this sad day when we can only resign ourselves to God's will," President Tebboune wrote in his message of condolence.	Tebboune 总统在吊唁信中写道：“今天，Mujahed Mahmoud Guemama 离开了，阿尔及利亚痛失一位爱国者，一名投身于人民和祖国大业的战士，他从拿起武器的那一刻起就未曾动摇过，他的决心坚定不移，他与英勇的圣战者兄弟们并肩奋战，直到他在这个令我们悲痛万分的日子里咽下最后一口气，而我们只能尊听主的旨意。”	今天，阿尔及利亚因圣战者 Mahmoud Guemama 的死亡而损失，他是一名爱国主义者和致力于其人民和国家事业的好战分子，他从未动摇过，他的决心从他与英勇的圣战者兄弟一起拿起武器的那一刻起，一直保持不变，直到他在我们只能听命于上帝意愿的这一悲伤日子里的最后一口气， " Tebboune 总统在他的吊致词中写道。	圣战者马哈茂德・盖马马是一位爱国者，也是一位致力于其人民和国家事业的好战分子，他从未动摇过，从他与英勇的圣战者兄弟们一起拿起武器，直到我们只能听天由命的这一悲惨日子的最后一口气，他的决心始终保持不变， " 特布恩总统在其吊电文中写道。
"The late Mahmoud Guemama, peace be upon him, belonged to a unique generation of faithful patriotic militants who sacrificed themselves for their homeland," added President of the Republic.	“已故的 Mahmoud Guemama——愿他安息——生于特别的一代，他们是充满信念、为国捐躯的爱国战士。”	“已故的 Mahmoud Guemama ，和平在他身上，属于一个独特的忠实爱国好战分子，他们为自己的家园而牺牲。	共和国总统补充说： " 已故的马哈茂德・古马马，和平在他身上，属于为祖国牺牲自己的一代忠实的爱国好战分子。
"The deceased devoted his life to the liberation of Algeria from the torments of abject colonialism, by joining the ranks of the Revolution in the prime of life in 1960 in the Tahart training camp of the historic wilaya VI."	“1960 年，他们在生命最辉煌的时期加入了 Wilaya VI 的 Tahart 训练营，加入了革命的队列，从卑劣的殖民主义魔爪中解放了阿尔及利亚，献出了自己的生命。”	“死者毕生致力于解放阿尔及利亚，摆脱苦的殖民主义的折磨， 1960 年在历史悠久的维拉亚六世的塔哈特训练营中加入了革命的峰。”	"死者于 1960 年在具有历史意义的第六省塔哈特训练营加入革命行列，献出了自己的生命，使阿尔及利亚摆脱了卑鄙殖民主义的折磨" 。
"The late President is known to all for his proven militancy and his commitment to anchoring the image of a prosperous and united Algeria," said President Tebboune.	“这位已故的领导人具有战斗精神，投身于建设一个团结繁荣的阿尔及利亚，他的名字也因此家喻户晓。”	他说：“已故总统因他的好战性和他对巩固一个繁荣和统一的阿尔及利亚形象的承诺而闻名。	特布恩总统说：“已故总统众所周知，他证明了他的好战性，并致力于锚定一个繁荣和统一的阿尔及利亚的形象。
"In the far south, the late Mahmoud Guemama enjoys great renown as a mediator, intervening to reconcile brothers in the same country whenever the fire of discord is kindled," added the President in his message.	总统补充道：“在遥远的南方地区，Mahmoud Guemama 是备受敬仰的调解者，一旦不和的火花被擦亮，他便置身其中，帮助同胞们达成和解。”	“在遥远的南方，已故的 Mahmoud Guemama 作为调解人享有很高的声誉，在发生不和的情况下，干预同一国家的兄弟和解， " 总统在他的致辞中补充说。	"在遥远的南方，已故的 Mahmoud Guemama 作为调解人享有很高的声誉，只要发生不和的火灾，就干预同一国家的兄弟和解，" 总统在致辞中补充说。
"All these qualities and values earned the late Mahmoud Guemama the respect and trust of the people of Tamanrasset who chose him to represent them in the People's National Assembly (APN) for several terms, during which he was the ambassador and defender of the concerns of the region and the aspirations of its people, and even the representative and spokesman of all Algerians," wrote the President of the Republic.	“这些品质和价值观让 Mahmoud Guemama 赢得了塔曼拉塞特人民的尊重和信任，推举他在全国人民议会中担任多个任期的人民代表，它是该地区人民关心的问题和人民意愿的大使和捍卫者，也是所有阿尔及利亚人民的代言人。”	共和国总统写道： "所有这些品质和价值观使已故的 Mahmoud Guemama 赢得了 Tamanrasset 人民的尊重和信任，他们选择他在全国人民议会中代表他们若干任期，在此期间，他是该地区关切的问题和人民愿望的大使和捍卫者，甚至是所有阿尔及利亚人的代表和发言人" 。	共和国总统写道 : "所有这些品质和价值观赢得了已故马哈茂德・盖马马 (Mahmoud Guemama) 的尊重和信任，塔曼拉塞特 (Tamanrasset) 人民选择他在人民国民议会 (APN) 中代表他们担任多个任期，在此期间，他是该地区关切和人民愿望的大使和捍卫者，甚至是所有阿尔及利亚人的代表和发言人。"
"All expressions of condolence will not be enough to pay tribute to the mujahed Mahmoud Guemama, peace be upon him.	“没有任何吊唁足以歌颂 Mujahed Mahmoud Guemama，愿他安息。	" 所有表示哀悼的人都不足以向圣战者 Mahmoud Guemama 致敬，愿他平安。	" 所有表示哀悼都不足以向圣战者 Mahmoud Guemama 致敬，愿他安息。
He is leaving us today at a time when Algeria needs him," said the President.	今天，他在阿尔及利亚最需要他的时刻离开了我们”，总统说。	他今天是在阿尔及利亚需要他的时候离开我们的。	他今天正值阿尔及利亚需要他的时候离开我们， " 总统说。
"I pray to Almighty God to surround the deceased with His Holy Mercy, to welcome him in His vast paradise alongside the shuhadaa and virtuous.	最后，Tebboune 总统说：“我向全能的真主祷告，让逝者沐浴在您圣洁慈悲的光芒中，在无垠的天堂，与 shuhadaa 和贤者们一同迎接他的到来。	“我祈求万能的上帝以的慈悲包围死者，在的巨大天堂里迎接他，伴随着 shuhadaa 和美德。	" 我祈求全能的上帝以他的神圣慈悲包围死者，欢迎他来到他广阔的天堂，与 shuhadaa 和美德一起。
I also pray to God to lend his family and loved ones patience and comfort...there is no strength or power except in God," the President of the Republic concluded.	我祈求真主给予他的家人和爱人耐心与慰藉......唯有您有无上的力量。”	我还祈求上帝给予他的家人和爱的人耐心和安慰 … … 除了上帝，没有力量或力量，” 共和国总统总结道。	我还祈求上帝给予他的家人和亲人耐心和安慰 … … 除了上帝以外，没有力量或力量，” 共和国总统总结道。
Coronavirus Travel Update: Which Countries Have Travel Restriction for Bulgarians Upon Entry	新冠疫情旅行指南：对保加利亚旅客实施入境限制的国家	冠状病毒旅行更新：哪些国家对保加利亚人入境有旅行限制	冠状病毒旅行更新：哪些国家在入境时对保加利亚人实行旅行限制
The number of countries imposing travel restrictions is growing. As of this week, the Czech Republic wants coronavirus tests for Bulgarian seasonal workers. Denmark allows Bulgarians on its territory only if they have an address registration there, an employment contract or a document certifying a business trip.	实行旅行限制的国家越来越多。从本周开始，捷克共和国希望对保加利亚季节工进行新冠病毒检测。丹麦规定，只有在该国登记了住所、拥有雇佣合同或商务旅行证明文件的保加利亚公民才能入境。	实行旅行限制的国家越来越多。截至本周，捷克共和国希望对保加利亚季节性工人进行冠状病毒检测。丹麦只允许保加利亚人在其领土上有地址登记、就业合同或证明商务旅行的文件。	目前，越来越多的国家实行旅行限制。截至本周，捷克共和国希望对保加利亚季节性工人进行冠状病毒检测。丹麦只允许保加利亚人在其领土上进行地址登记、就业合同或证明商务旅行的文件。
